Rat Gene Symbol	Human Gene Symbol
Gzf1	GZF1
Gzma	GZMA
Gzmb	GZMB
Gzmbl1	GZMB
Gzmbl2	GZMB
Gzmbl2	GZMH
Gzmbl3	GZMB
Gzmbl3	GZMH
Gzmc	GZMB
Gzmc	GZMH
Gzmf	AZU1
Gzmf	GZMB
Gzmf	GZMH
Gzmk	GZMK
Gzmm	GZMM
Gzmn	GZMB
Gzmn	GZMH
H19	NA
H1f0	H1-0
H1f1	H1-1
H1f10	H1-10
H1f2	H1-2
H1f4	H1-4
H1f5	H1-5
H1f6	H1-6
H1f7	H1-7
H1f8	H1-8
H2ab3	H2AB1
H2ac1	H2AC1
H2ac12	H2AC12
H2ac20	H2AC20
H2ac21	H2AC21
H2aj	H2AJ
H2ax	H2AX
H2az1	H2AZ1
H2az2	H2AZ2
H2bc1	H2BC1
H2bc12	H2BC12
H2bc9	H2BC9
H2bu1	H2BU1
H3c1	H3C1
H3c13	H3C13
H3f3a	H3-3A
H3f3b	H3-3B
H3f3c	H3-3A
H3f3c	H3-3B
H3f3c	H3C13
H3f3c	H3Y1
H3f3c	H3Y2
H3f4	H3-4
H4f16	H4-16
H4f3	H1-3
H6pd	H6PD
Haao	HAAO
Habp2	HABP2
Habp4	HABP4
Hacd1	HACD1
Hacd2	HACD2
Hacd3	HACD3
Hacd4	HACD4
Hace1	HACE1
Hacl1	HACL1
Hadh	HADH
Hadha	HADHA
Hadhb	HADHB
Hagh	HAGH
Haghl	HAGHL
Hal	HAL
Hamp	HAMP
Hand1	HAND1
Hand2	HAND2
Hao1	HAO1
Hao2	HAO2
Hap1	HAP1
Hapln1	HAPLN1
Hapln2	HAPLN2
Hapln3	HAPLN3
Hapln4	HAPLN4
Harbi1	HARBI1
Hars1	HARS1
Hars2	HARS2
Has1	HAS1
Has2	HAS2
Has3	HAS3
Haspin	HASPIN
Hat1	HAT1
Haus1	HAUS1
Haus2	HAUS2
Haus3	HAUS3
Haus4	HAUS4
Haus5	HAUS5
Haus7	HAUS7
Haus8	HAUS8
Havcr1	HAVCR1
Havcr2	HAVCR2
Hax1	HAX1
Hba-a1	HBA1
Hba-a2	HBA1
Hba-a3	HBA2
Hbb	HBB
Hbb-b1	HBD
Hbb-bs	HBB
Hbe1	HBE1
Hbe2	AC104389.5
Hbe2	HBE1
Hbe2	HBG1
Hbe2	HBG2
Hbegf	HBEGF
Hbg1	HBG1
Hbp1	HBP1
Hbq1	NA
Hbq1b	HBQ1
Hbs1l	HBS1L
Hbz	HBZ
Hcar1	HCAR1
Hcar2	HCAR2
Hccs	HCCS
Hcfc1	HCFC1
Hcfc1r1	HCFC1R1
Hcfc2	HCFC2
Hck	HCK
Hcls1	HCLS1
Hcn1	HCN1
Hcn2	HCN2
Hcn3	HCN3
Hcn4	HCN4
Hcrt	HCRT
Hcrtr1	HCRTR1
Hcrtr2	HCRTR2
Hcst	HCST
Hdac1	HDAC1
Hdac10	HDAC10
Hdac11	HDAC11
Hdac1l	HDAC1
Hdac2	HDAC2
Hdac3	HDAC3
Hdac4	HDAC4
Hdac5	HDAC5
Hdac6	HDAC6
Hdac7	HDAC7
Hdac8	HDAC8
Hdac9	HDAC9
Hdc	HDC
Hddc2	HDDC2
Hddc3	HDDC3
Hdgf	HDGF
Hdgfl1	HDGFL1
Hdgfl2	HDGFL2
Hdgfl3	HDGFL3
Hdhd2	HDHD2
Hdhd3	HDHD3
Hdhd5	HDHD5
Hdlbp	HDLBP
Hdx	HDX
Heatr1	HEATR1
Heatr3	HEATR3
Heatr4	HEATR4
Heatr5a	HEATR5A
Heatr5b	HEATR5B
Heatr6	HEATR6
Heatr9	HEATR9
Hebp1	HEBP1
Hebp2	HEBP2
Heca	HECA
Hectd1	HECTD1
Hectd2	HECTD2
Hectd3	HECTD3
Hectd4	HECTD4
Hecw1	HECW1
Hecw2	HECW2
Heg1	HEG1
Helb	HELB
Hells	HELLS
Helq	HELQ
Helt	HELT
Helz	HELZ
Helz2	HELZ2
Hemgn	HEMGN
Hemk1	HEMK1
Henmt1	HENMT1
Hepacam	HEPACAM
Hepacam2	HEPACAM2
Heph	HEPH
Hephl1	HEPHL1
Herc1	HERC1
Herc2	HERC2
Herc3	HERC3
Herc4	HERC4
Herc6	HERC6
Herpud1	HERPUD1
Herpud2	HERPUD2
Hes1	HES1
Hes2	HES2
Hes3	HES3
Hes5	HES5
Hes6	HES6
Hes7	HES7
Hesx1	HESX1
Hexa	HEXA
Hexb	HEXB
Hexd	HEXD
Hexim1	HEXIM1
Hexim2	HEXIM2
Hey1	HEY1
Hey2	HEY2
Heyl	HEYL
Hfe	HFE
Hfm1	HFM1
Hgd	HGD
Hgf	HGF
Hgfac	HGFAC
Hgh1	HGH1
Hgs	HGS
Hhat	HHAT
Hhatl	HHATL
Hhex	HHEX
Hhip	HHIP
Hhipl1	HHIPL1
Hhipl2	HHIPL2
Hhla2	HHLA2
Hiatl3	MFSD14A
Hibadh	HIBADH
Hibch	HIBCH
Hic1	HIC1
Hic2	HIC2
Hid1	HID1
Hif1a	HIF1A
Hif1an	HIF1AN
Hif3a	HIF3A
Higd1a	HIGD1A
Higd1b	HIGD1B
Higd1c	HIGD1C
Higd2a	HIGD2A
Hikeshi	HIKESHI
Hilpda	HILPDA
Hils1	H1-9P
Hinfp	HINFP
Hint1	HINT1
Hint2	HINT2
Hint3	HINT3
Hip1	HIP1
Hip1r	HIP1R
Hipk1	HIPK1
Hipk2	HIPK2
Hipk3	HIPK3
Hipk4	HIPK4
Hira	HIRA
Hirip3	HIRIP3
Hist1h2ac	H2AC8
Hist1h2af	H2AC8
Hist1h2ah	H2AC11
Hist1h2ai	H2AC7
Hist1h2ai	H2AC8
Hist1h2ail1	H3C6
hist1h2ail2	AL031777.2
hist1h2ail2	H2AC1
hist1h2ail2	H2AC11
hist1h2ail2	H2AC12
hist1h2ail2	H2AC13
hist1h2ail2	H2AC14
hist1h2ail2	H2AC15
hist1h2ail2	H2AC16
hist1h2ail2	H2AC17
hist1h2ail2	H2AC18
hist1h2ail2	H2AC19
hist1h2ail2	H2AC20
hist1h2ail2	H2AC21
hist1h2ail2	H2AC4
hist1h2ail2	H2AC6
hist1h2ail2	H2AC8
hist1h2ail2	H2AJ
hist1h2ail2	H2AW
hist1h2ail2	H2AX
Hist1h2ak	H2AC4
Hist1h2an	NA
Hist1h2ao	H4-16
Hist1h2ao	H4C1
Hist1h2ao	H4C11
Hist1h2ao	H4C12
Hist1h2ao	H4C15
Hist1h2ao	H4C8
Hist1h2bc	H2BC10
Hist1h2bc	H2BC11
Hist1h2bc	H2BC12
Hist1h2bc	H2BC13
Hist1h2bc	H2BC14
Hist1h2bc	H2BC15
Hist1h2bc	H2BC17
Hist1h2bc	H2BC21
Hist1h2bc	H2BC3
Hist1h2bc	H2BC4
Hist1h2bc	H2BC5
Hist1h2bc	H2BC6
Hist1h2bc	H2BC7
Hist1h2bc	H2BC8
Hist1h2bc	H2BC9
Hist1h2bc	H2BS1
Hist1h2bc	LOC102724334
Hist1h2bd	H2BC5
Hist1h2bg	NA
Hist1h2bl	H2BC8
Hist1h2bo	H2BC10
Hist1h2bo	H2BC11
Hist1h2bo	H2BC12
Hist1h2bo	H2BC13
Hist1h2bo	H2BC14
Hist1h2bo	H2BC15
Hist1h2bo	H2BC17
Hist1h2bo	H2BC18
Hist1h2bo	H2BC21
Hist1h2bo	H2BC3
Hist1h2bo	H2BC4
Hist1h2bo	H2BC5
Hist1h2bo	H2BC6
Hist1h2bo	H2BC7
Hist1h2bo	H2BC8
Hist1h2bo	H2BC9
Hist1h2bo	H2BS1
Hist1h2bo	H2BU1
Hist1h2bo	LOC102724334
Hist1h2bq	H2BC7
Hist1h3b	H3C12
Hist1h4a	H4C9
Hist1h4b	H4C9
Hist1h4m	H4C1
Hist2h2aa2	H2AC1
Hist2h2aa2	H2AC11
Hist2h2aa2	H2AC12
Hist2h2aa2	H2AC13
Hist2h2aa2	H2AC14
Hist2h2aa2	H2AC15
Hist2h2aa2	H2AC16
Hist2h2aa2	H2AC17
Hist2h2aa2	H2AC18
Hist2h2aa2	H2AC19
Hist2h2aa2	H2AC20
Hist2h2aa2	H2AC4
Hist2h2aa2	H2AC6
Hist2h2aa2	H2AC7
Hist2h2aa2	H2AC8
Hist2h2aa2	H2AJ
Hist2h2aa2	H2AW
Hist2h2aa3	H2AC18
Hist2h2bb	NA
Hist2h2be	H2BC11
Hist2h3c2	H3C14
Hist2h4	H4C2
Hist2h4a	H4C4
Hist3h2a	H2AC6
Hist3h2a	H2AW
Hist3h2ba	H2BC10
Hist3h2ba	H2BC11
Hist3h2ba	H2BC12
Hist3h2ba	H2BC13
Hist3h2ba	H2BC14
Hist3h2ba	H2BC15
Hist3h2ba	H2BC17
Hist3h2ba	H2BC21
Hist3h2ba	H2BC3
Hist3h2ba	H2BC4
Hist3h2ba	H2BC5
Hist3h2ba	H2BC6
Hist3h2ba	H2BC7
Hist3h2ba	H2BC8
Hist3h2ba	H2BC9
Hist3h2ba	H2BS1
Hist3h2ba	LOC102724334
Hivep1	HIVEP1
Hivep2	HIVEP2
Hivep3	HIVEP3
Hjurp	HJURP
Hjv	HJV
Hk1	HK1
Hk2	HK2
Hk3	HK3
Hkdc1	HKDC1
Hlcs	HLCS
Hlf	HLF
Hltf	HLTF
Hlx	HLX
Hm13	HM13
Hmbox1	HMBOX1
Hmbs	HMBS
Hmces	HMCES
Hmcn1	HMCN1
Hmcn2	HMCN2
Hmg1l1	HMGB1
Hmg1l1	HMGB1P1
Hmg20a	HMG20A
Hmg20b	HMG20B
Hmga1	HMGA1
Hmga2	HMGA2
Hmgb1	HMGB1
Hmgb2	HMGB2
Hmgb2l1	HMGB2
Hmgb3	HMGB3
Hmgb4	HMGB4
Hmgcl	HMGCL
Hmgcll1	HMGCLL1
Hmgcr	HMGCR
Hmgcs1	HMGCS1
Hmgcs2	HMGCS2
Hmgn1	HMGN1
Hmgn2	HMGN2
Hmgn3	HMGN3
Hmgn5	HMGN5
Hmgn5b	HMGN1
Hmgxb4	HMGXB4
Hmmr	HMMR
Hmox1	HMOX1
Hmox2	HMOX2
Hmx1	HMX1
Hmx2	HMX2
Hmx3	HMX3
Hnf1a	HNF1A
Hnf1b	HNF1B
Hnf4a	HNF4A
Hnf4g	HNF4G
Hnmt	HNMT
Hnrnpa0	HNRNPA0
Hnrnpa1	HNRNPA1
Hnrnpa2b1	HNRNPA2B1
Hnrnpa3	HNRNPA3
Hnrnpab	HNRNPAB
Hnrnpc	HNRNPC
Hnrnpd	HNRNPD
Hnrnpdl	HNRNPDL
Hnrnpf	HNRNPF
Hnrnph1	HNRNPH1
Hnrnph2	HNRNPH2
Hnrnph3	HNRNPH3
Hnrnpk	HNRNPK
Hnrnpl	HNRNPL
Hnrnpll	HNRNPLL
Hnrnpm	HNRNPM
Hnrnpr	HNRNPR
Hnrnpu	HNRNPU
Hnrnpul1	HNRNPUL1
Hnrnpul2	HNRNPUL2
Hoatz	HOATZ
Hoga1	HOGA1
Homer1	HOMER1
Homer2	HOMER2
Homer3	HOMER3
Homez	HOMEZ
Hook1	HOOK1
Hook2	HOOK2
Hook3	HOOK3
Hopx	HOPX
Hormad1	HORMAD1
Hormad2	HORMAD2
Hoxa1	HOXA1
Hoxa10	HOXA10
Hoxa11	HOXA11
Hoxa13	HOXA13
Hoxa2	HOXA2
Hoxa3	HOXA3
Hoxa4	HOXA4
Hoxa5	HOXA5
Hoxa6	HOXA6
Hoxa7	HOXA7
Hoxa9	HOXA9
Hoxb1	HOXB1
Hoxb13	HOXB13
Hoxb2	HOXB2
Hoxb3	HOXB3
Hoxb4	HOXB4
Hoxb5	HOXB5
Hoxb6	HOXB6
Hoxb7	HOXB7
Hoxb8	HOXB8
Hoxb9	HOXB9
Hoxc10	HOXC10
Hoxc11	HOXC11
Hoxc12	HOXC12
Hoxc13	HOXC13
Hoxc4	HOXC4
Hoxc5	HOXC5
Hoxc6	HOXC6
Hoxc8	HOXC8
Hoxc9	HOXC9
Hoxd1	HOXD1
Hoxd10	HOXD10
Hoxd11	HOXD11
Hoxd12	HOXD12
Hoxd13	HOXD13
Hoxd3	HOXD3
Hoxd4	HOXD4
Hoxd8	HOXD8
Hoxd9	HOXD9
Hp	HP
Hp1bp3	HP1BP3
Hpca	HPCA
Hpcal1	HPCAL1
Hpcal4	HPCAL4
Hpd	HPD
Hpdl	HPDL
Hpf1	HPF1
Hpgd	HPGD
Hpgds	HPGDS
Hpn	HPN
Hprt1	HPRT1
Hps1	HPS1
Hps3	HPS3
Hps4	HPS4
Hps5	HPS5
Hps6	HPS6
Hpse	HPSE
Hpse2	HPSE2
Hpx	HPX
Hr	HR
Hras	HRAS
Hrc	HRC
Hrct1	HRCT1
Hrg	HRG
Hrh1	HRH1
Hrh2	HRH2
Hrh3	HRH3
Hrh4	HRH4
Hrk	HRK
Hrnr	HRNR
Hrob	HROB
Hs1bp3	HS1BP3
Hs2st1	HS2ST1
Hs3st1	HS3ST1
Hs3st2	HS3ST2
Hs3st3a1	HS3ST3A1
Hs3st3b1	HS3ST3B1
Hs3st4	HS3ST4
Hs3st5	HS3ST5
Hs3st6	HS3ST6
Hs6st1	HS6ST1
Hs6st2	HS6ST2
Hs6st3	HS6ST3
Hsbp1	HSBP1
Hsbp1l1	HSBP1L1
Hscb	HSCB
Hsd11b1	HSD11B1
Hsd11b2	HSD11B2
Hsd17b1	HSD17B1
Hsd17b10	HSD17B10
Hsd17b11	HSD17B11
Hsd17b12	HSD17B12
Hsd17b13	HSD17B13
Hsd17b14	HSD17B14
Hsd17b2	HSD17B2
Hsd17b3	HSD17B3
Hsd17b4	HSD17B4
Hsd17b6	HSD17B6
Hsd17b7	HSD17B7
Hsd17b8	HSD17B8
Hsd3b1	HSD3B1
Hsd3b2	HSD3B2
Hsd3b3	HSD3B1
Hsd3b3	HSD3B2
Hsd3b5	HSD3B1
Hsd3b5	HSD3B2
Hsd3b7	HSD3B7
Hsdl1	HSDL1
Hsdl2	HSDL2
Hsf1	HSF1
Hsf2	HSF2
Hsf2bp	HSF2BP
Hsf4	HSF4
Hsf5	HSF5
Hsfy2	HSFY2
Hsh2d	HSH2D
Hsp90aa1	HSP90AA1
Hsp90ab1	HSP90AB1
Hsp90b1	HSP90B1
Hspa12a	HSPA12A
Hspa12b	HSPA12B
Hspa13	HSPA13
Hspa14	HSPA14
Hspa1a	HSPA1A
Hspa1b	HSPA1B
Hspa1l	HSPA1L
Hspa2	HSPA2
Hspa4	HSPA4
Hspa4l	HSPA4L
Hspa5	HSPA5
Hspa8	HSPA8
Hspa9	HSPA9
Hspb1	HSPB1
Hspb11	HSPB11
Hspb2	HSPB2
Hspb3	HSPB3
Hspb6	HSPB6
Hspb7	HSPB7
Hspb8	HSPB8
Hspb9	HSPB9
Hspbap1	HSPBAP1
Hspbp1	HSPBP1
Hspd1	HSPD1
Hspe1	HSPE1
Hspg2	HSPG2
Hsph1	HSPH1
Htatip2	HTATIP2
Htatsf1	HTATSF1
Htr1a	HTR1A
Htr1b	HTR1B
Htr1d	HTR1D
Htr1f	HTR1F
Htr2a	HTR2A
Htr2b	HTR2B
Htr2c	HTR2C
Htr3a	HTR3A
Htr3b	HTR3B
Htr4	HTR4
Htr5a	HTR5A
Htr5b	HTR5A
Htr6	HTR6
Htr7	HTR7
Htra1	HTRA1
Htra2	HTRA2
Htra3	HTRA3
Htra4	HTRA4
Htt	HTT
Hunk	HUNK
Hus1	HUS1
Hus1b	HUS1B
Hvcn1	HVCN1
Hyal1	HYAL1
Hyal2	HYAL2
Hyal3	HYAL3
Hyal4	HYAL4
Hyal5	SPAM1
Hyal6	NA
Hydin	HYDIN
Hyi	HYI
Hykk	HYKK
Hyls1	HYLS1
Hyou1	HYOU1
Hypk	HYPK
Hypm	H2AP
Iah1	IAH1
Iapp	IAPP
Iars1	IARS1
Iars2	IARS2
Iba57	IBA57
Ibsp	IBSP
Ibtk	IBTK
Ica1	ICA1
Ica1l	ICA1L
Icam1	ICAM1
Icam2	ICAM2
Icam4	ICAM4
Icam5	ICAM5
Ice1	ICE1
Ice2	ICE2
Icmt	ICMT
Icos	ICOS
Icoslg	ICOSLG
Id1	ID1
Id2	ID2
Id3	ID3
Id4	ID4
Ide	IDE
Idh1	IDH1
Idh2	IDH2
Idh3a	IDH3A
Idh3b	IDH3B
Idh3g	IDH3G
Idi1	IDI1
Idi2	IDI2
Idnk	IDNK
Ido1	IDO1
Ido2	IDO2
Ids	IDS
Idua	IDUA
Ier2	IER2
Ier3	IER3
Ier3ip1	IER3IP1
Ier5	IER5
Ier5l	IER5L
Iffo1	IFFO1
Iffo2	IFFO2
Ifi27	IFI27
Ifi27l2b	IFI27L2
Ifi30	IFI30
Ifi35	IFI35
Ifi44	IFI44
Ifi44l	IFI44L
Ifi47	NA
Ifih1	IFIH1
Ifit1	IFIT1B
Ifit1bl	IFIT1
Ifit2	IFIT2
Ifit3	IFIT3
Ifitm1	IFITM1
Ifitm1	IFITM2
Ifitm1	IFITM3
Ifitm10	IFITM10
Ifitm2	IFITM2
Ifitm3	IFITM3
Ifitm5	IFITM5
Ifitm6	IFITM1
Ifitm6	IFITM2
Ifitm6	IFITM3
Ifitm7	NA
Ifna1	IFNA14
Ifna11	IFNA1
Ifna11	IFNA10
Ifna11	IFNA13
Ifna11	IFNA14
Ifna11	IFNA16
Ifna11	IFNA17
Ifna11	IFNA2
Ifna11	IFNA21
Ifna11	IFNA4
Ifna11	IFNA5
Ifna11	IFNA6
Ifna11	IFNA7
Ifna11	IFNA8
Ifna16l1	IFNA1
Ifna16l1	IFNA10
Ifna16l1	IFNA13
Ifna16l1	IFNA14
Ifna16l1	IFNA16
Ifna16l1	IFNA17
Ifna16l1	IFNA2
Ifna16l1	IFNA21
Ifna16l1	IFNA4
Ifna16l1	IFNA5
Ifna16l1	IFNA6
Ifna16l1	IFNA7
Ifna16l1	IFNA8
Ifna2	IFNA1
Ifna2	IFNA10
Ifna2	IFNA13
Ifna2	IFNA14
Ifna2	IFNA16
Ifna2	IFNA17
Ifna2	IFNA2
Ifna2	IFNA21
Ifna2	IFNA4
Ifna2	IFNA5
Ifna2	IFNA6
Ifna2	IFNA7
Ifna2	IFNA8
Ifna4	IFNA4
Ifna5	IFNA1
Ifna5	IFNA10
Ifna5	IFNA13
Ifna5	IFNA14
Ifna5	IFNA16
Ifna5	IFNA17
Ifna5	IFNA2
Ifna5	IFNA21
Ifna5	IFNA4
Ifna5	IFNA5
Ifna5	IFNA6
Ifna5	IFNA7
Ifna5	IFNA8
Ifnar1	IFNAR1
Ifnar2	IFNAR2
Ifnb1	IFNB1
Ifne	IFNE
Ifng	IFNG
Ifngr1	IFNGR1
Ifngr2	IFNGR2
Ifnk	IFNK
Ifnl1	IFNL1
Ifnl3	IFNL3
Ifnlr1	IFNLR1
Ifrd1	IFRD1
Ifrd2	IFRD2
Ift122	IFT122
Ift140	IFT140
Ift172	IFT172
Ift20	IFT20
Ift22	IFT22
Ift27	IFT27
Ift43	IFT43
Ift46	IFT46
Ift52	IFT52
Ift57	IFT57
Ift74	IFT74
Ift80	IFT80
Ift81	IFT81
Ift88	IFT88
Iftap	IFTAP
Igbp1	IGBP1
Igbp1b	IGBP1
Igdcc3	IGDCC3
Igdcc4	IGDCC4
Igf1	IGF1
Igf1r	IGF1R
Igf2	IGF2
Igf2bp1	IGF2BP1
Igf2bp2	IGF2BP2
Igf2bp3	IGF2BP3
Igf2r	IGF2R
Igfals	IGFALS
Igfbp1	IGFBP1
Igfbp2	IGFBP2
Igfbp3	IGFBP3
Igfbp4	IGFBP4
Igfbp5	IGFBP5
Igfbp6	IGFBP6
Igfbp7	IGFBP7
Igfbpl1	IGFBPL1
Igfl3	IGFL3
Igflr1	IGFLR1
Igfn1	IGFN1
IgG-2a	IGHG1
IgG-2a	IGHG2
IgG-2a	IGHG3
IgG-2a	IGHG4
Igh@	NA
Igh-6	IGHG1
Igh-6	IGHG2
Igh-6	IGHG3
Igh-6	IGHG4
Ighmbp2	IGHMBP2
Igip	IGIP
Igkc	IGKC
Igl	NA
Igll1	IGLL5
Iglon5	IGLON5
Igsf1	IGSF1
Igsf10	IGSF10
Igsf11	IGSF11
Igsf21	IGSF21
Igsf22	IGSF22
Igsf23	IGSF23
Igsf3	IGSF3
Igsf5	IGSF5
Igsf6	IGSF6
Igsf7	CD300C
Igsf8	IGSF8
Igsf9	IGSF9
Igsf9b	IGSF9B
Igtp	IRGM
Ihh	IHH
Iho1	IHO1
Ik	IK
Ikbip	IKBIP
Ikbkb	IKBKB
Ikbke	IKBKE
Ikbkg	IKBKG
Ikzf1	IKZF1
Ikzf2	IKZF2
Ikzf3	IKZF3
Ikzf4	IKZF4
Ikzf5	IKZF5
Il10	IL10
Il10ra	IL10RA
Il10rb	IL10RB
Il11	IL11
Il11ra1	IL11RA
Il12a	IL12A
Il12b	IL12B
Il12rb1	IL12RB1
Il12rb2	IL12RB2
Il13	IL13
Il13ra1	IL13RA1
Il13ra2	IL13RA2
Il15	IL15
Il15ra	IL15RA
Il16	IL16
Il17a	IL17A
Il17b	IL17B
Il17c	IL17C
Il17d	IL17D
Il17f	IL17F
Il17ra	IL17RA
Il17rb	IL17RB
Il17rc	IL17RC
Il17rd	IL17RD
Il17re	IL17RE
Il18	IL18
Il18bp	IL18BP
Il18r1	IL18R1
Il18rap	IL18RAP
Il19	IL19
Il1a	IL1A
Il1b	IL1B
Il1f10	IL1F10
Il1r1	IL1R1
Il1r2	IL1R2
Il1rap	IL1RAP
Il1rapl1	IL1RAPL1
Il1rapl2	IL1RAPL2
Il1rl1	IL1RL1
Il1rl2	IL1RL2
Il1rn	IL1RN
Il2	IL2
Il20	IL20
Il20ra	IL20RA
Il20rb	IL20RB
Il21	IL21
Il21r	IL21R
Il22	IL22
Il22ra1	IL22RA1
Il22ra2	IL22RA2
Il23a	IL23A
Il23r	IL23R
Il24	IL24
Il25	IL25
Il27	IL27
Il27ra	IL27RA
Il2ra	IL2RA
Il2rb	IL2RB
Il2rg	IL2RG
Il3	IL3
Il31	IL31
Il31ra	IL31RA
Il33	IL33
Il34	IL34
Il36a	IL36A
Il36b	IL36B
Il36g	IL36G
Il36rn	IL36RN
Il3ra	IL3RA
Il4	IL4
Il4i1	IL4I1
Il4r	IL4R
Il5	IL5
Il5ra	IL5RA
Il6	IL6
Il6r	IL6R
Il6st	IL6ST
Il7	IL7
Il7r	IL7R
Il9	IL9
Il9r	IL9R
Ildr1	ILDR1
Ildr2	ILDR2
Ilf2	ILF2
Ilf3	ILF3
Ilk	ILK
Ilkap	ILKAP
Ilrun	ILRUN
Ilvbl	ILVBL
Immp1l	IMMP1L
Immp2l	IMMP2L
Immt	IMMT
Imp3	IMP3
Imp4	IMP4
Impa1	IMPA1
Impa2	IMPA2
Impact	IMPACT
Impdh1	IMPDH1
Impdh2	IMPDH2
Impg1	IMPG1
Impg2	IMPG2
Ina	INA
Inafm1	INAFM1
Inafm2	INAFM2
Inava	INAVA
Inca1	INCA1
Incenp	INCENP
Inf2	INF2
Ing1	ING1
Ing2	ING2
Ing3	ING3
Ing4	ING4
Ing5	ING5
Inha	INHA
Inhba	INHBA
Inhbb	INHBB
Inhbc	INHBC
Inhbe	INHBE
Inip	INIP
Inka1	INKA1
Inka2	INKA2
Inmt	INMT
Ino80	INO80
Ino80b	INO80B
Ino80c	INO80C
Ino80d	INO80D
Ino80e	INO80E
Inpp1	INPP1
Inpp4a	INPP4A
Inpp4b	INPP4B
Inpp5a	INPP5A
Inpp5b	INPP5B
Inpp5d	INPP5D
Inpp5e	INPP5E
Inpp5f	INPP5F
Inpp5j	INPP5J
Inpp5k	INPP5K
Inppl1	INPPL1
Ins1	INS-IGF2
Ins2	INS
Insc	INSC
Insig1	INSIG1
Insig2	INSIG2
Insl3	INSL3
Insl5	INSL5
Insl6	INSL6
Insm1	INSM1
Insm2	INSM2
Insr	INSR
Insrr	INSRR
Insyn1	INSYN1
Insyn2a	INSYN2A
Insyn2b	INSYN2B
Ints1	INTS1
Ints10	INTS10
Ints11	INTS11
Ints12	INTS12
Ints13	INTS13
Ints14	INTS14
Ints2	INTS2
Ints3	INTS3
Ints4	INTS4
Ints5	INTS5
Ints6	INTS6
Ints6l	INTS6L
Ints7	INTS7
Ints9	INTS9
Intu	INTU
Invs	INVS
Ip6k1	IP6K1
Ip6k2	IP6K2
Ip6k3	IP6K3
Ipcef1	IPCEF1
Ipmk	IPMK
Ipo11	IPO11
Ipo13	IPO13
Ipo4	IPO4
Ipo5	IPO5
Ipo7	IPO7
Ipo8	IPO8
Ipo9	IPO9
Ipp	IPP
Ippk	IPPK
Iqank1	IQANK1
Iqca1	IQCA1
Iqca1l	IQCA1L
Iqcb1	IQCB1
Iqcc	IQCC
Iqce	IQCE
Iqcf1	IQCF1
Iqcf3	IQCF2
Iqcf5	IQCF5
Iqcf6	IQCF6
Iqcg	IQCG
Iqch	IQCH
Iqck	IQCK
Iqcm	IQCM
Iqcn	IQCN
Iqgap1	IQGAP1
Iqgap2	IQGAP2
Iqgap3	IQGAP3
Iqsec1	IQSEC1
Iqsec2	IQSEC2
Iqsec3	IQSEC3
Iqub	IQUB
Irag1	IRAG1
Irag2	IRAG2
Irak1	IRAK1
Irak1bp1	IRAK1BP1
Irak2	IRAK2
Irak3	IRAK3
Irak4	IRAK4
Ireb2	IREB2
Irf1	IRF1
Irf2	IRF2
Irf2bp1	IRF2BP1
Irf2bp2	IRF2BP2
Irf2bpl	IRF2BPL
Irf3	IRF3
Irf4	IRF4
Irf5	IRF5
Irf6	IRF6
Irf7	IRF7
Irf8	IRF8
Irf9	IRF9
Irgc	IRGC
Irgm	IRGM
Irgm2	IRGM
Irgq	IRGQ
Irs1	IRS1
Irs2	IRS2
Irs3	IRS1
Irs4	IRS4
Irx1	IRX1
Irx2	IRX2
Irx3	IRX3
Irx4	IRX4
Irx5	IRX5
Irx6	IRX6
Isca1	ISCA1
Isca2	ISCA2
Iscu	ISCU
Isg15	ISG15
Isg20	ISG20
Isg20l2	ISG20L2
Isl1	ISL1
Isl2	ISL2
Islr	ISLR
Islr2	ISLR2
Ism1	ISM1
Ism2	ISM2
Isoc1	ISOC1
Isoc2b	ISOC2
Ist1	IST1
Isx	ISX
Isy1	ISY1
Isyna1	ISYNA1
Itch	ITCH
Itfg1	ITFG1
Itfg2	ITFG2
Itga1	ITGA1
Itga10	ITGA10
Itga11	ITGA11
Itga2	ITGA2
Itga2b	ITGA2B
Itga3	ITGA3
Itga4	ITGA4
Itga5	ITGA5
Itga6	ITGA6
Itga7	ITGA7
Itga8	ITGA8
Itga9	ITGA9
Itgad	ITGAD
Itgae	ITGAE
Itgal	ITGAL
Itgam	ITGAM
Itgav	ITGAV
Itgax	ITGAX
Itgb1	ITGB1
Itgb1bp1	ITGB1BP1
Itgb1bp2	ITGB1BP2
Itgb2	ITGB2
Itgb3	ITGB3
Itgb3bp	ITGB3BP
Itgb4	ITGB4
Itgb5	ITGB5
Itgb6	ITGB6
Itgb7	ITGB7
Itgb8	ITGB8
Itgbl1	ITGBL1
Itih1	ITIH1
Itih3	ITIH3
Itih4	ITIH4
Itih6	ITIH6
Itk	ITK
Itln1	ITLN1
Itm2a	ITM2A
Itm2b	ITM2B
Itm2c	ITM2C
Itpa	ITPA
Itpk1	ITPK1
Itpka	ITPKA
Itpkb	ITPKB
Itpkc	ITPKC
Itpr1	ITPR1
Itpr2	ITPR2
Itpr3	ITPR3
Itprid1	ITPRID1
Itprid2	ITPRID2
Itprip	ITPRIP
Itprip	ITPRIP
Itpripl1	ITPRIPL1
Itpripl2	ITPRIPL2
Itsn1	ITSN1
Itsn2	ITSN2
Ivd	IVD
Ivl	IVL
